#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
fuel_heb_248_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEB-248 Fluoride Fuel
fuel_lecf_249                                     ([no block])                                                                     = Molten LECf-249 Fuel
fuel_lecf_249_fluoride                            ([no block])                                                                     = Molten LECf-249 Fluoride Fuel
fuel_lecf_249_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECf-249 Fluoride Fuel
fuel_hecf_249                                     ([no block])                                                                     = Molten HECf-249 Fuel
fuel_hecf_249_fluoride                            ([no block])                                                                     = Molten HECf-249 Fluoride Fuel
fuel_hecf_249_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECf-249 Fluoride Fuel
fuel_lecf_251                                     ([no block])                                                                     = Molten LECf-251 Fuel
fuel_lecf_251_fluoride                            ([no block])                                                                     = Molten LECf-251 Fluoride Fuel
fuel_lecf_251_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECf-251 Fluoride Fuel
fuel_hecf_251                                     ([no block])                                                                     = Molten HECf-251 Fuel
fuel_hecf_251_fluoride                            ([no block])                                                                     = Molten HECf-251 Fluoride Fuel
fuel_hecf_251_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
depleted_fuel_tbu                                 ([no block])                                                                     = Molten Depleted TBU Fuel
depleted_fuel_tbu_fluoride                        ([no block])                                                                     = Molten Depleted TBU Fluoride Fuel
depleted_fuel_tbu_fluoride_flibe                  ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted TBU Fluoride Fuel
depleted_fuel_leu_233                             ([no block])                                                                     = Molten Depleted LEU-233 Fuel
depleted_fuel_leu_233_fluoride                    ([no block])                                                                     = Molten Depleted LEU-233 Fluoride Fuel
depleted_fuel_leu_233_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEU-233 Fluoride Fuel
depleted_fuel_heu_233                             ([no block])                                                                     = Molten Depleted HEU-233 Fuel
depleted_fuel_heu_233_fluoride                    ([no block])                                                                     = Molten Depleted HEU-233 Fluoride Fuel
depleted_fuel_heu_233_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEU-233 Fluoride Fuel
depleted_fuel_leu_235                             ([no block])                                                                     = Molten Depleted LEU-235 Fuel
depleted_fuel_leu_235_fluoride                    ([no block])                                                                     = Molten Depleted LEU-235 Fluoride Fuel
depleted_fuel_leu_235_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEU-235 Fluoride Fuel
depleted_fuel_heu_235                             ([no block])                                                                     = Molten Depleted HEU-235 Fuel
depleted_fuel_heu_235_fluoride                    ([no block])                                                                     = Molten Depleted HEU-235 Fluoride Fuel
depleted_fuel_heu_235_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEU-235 Fluoride Fuel
depleted_fuel_len_236                             ([no block])                                                                     = Molten Depleted LEN-236 Fuel
depleted_fuel_len_236_fluoride                    ([no block])                                                                     = Molten Depleted LEN-236 Fluoride Fuel
depleted_fuel_len_236_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEN-236 Fluoride Fuel
depleted_fuel_hen_236                             ([no block])                                                                     = Molten Depleted HEN-236 Fuel
depleted_fuel_hen_236_fluoride                    ([no block])                                                                     = Molten Depleted HEN-236 Fluoride Fuel
depleted_fuel_hen_236_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEN-236 Fluoride Fuel
depleted_fuel_lep_239                             ([no block])                                                                     = Molten Depleted LEP-239 Fuel
depleted_fuel_lep_239_fluoride                    ([no block])                                                                     = Molten Depleted LEP-239 Fluoride Fuel
depleted_fuel_lep_239_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEP-239 Fluoride Fuel
depleted_fuel_hep_239                             ([no block])                                                                     = Molten Depleted HEP-239 Fuel
depleted_fuel_hep_239_fluoride                    ([no block])                                                                     = Molten Depleted HEP-239 Fluoride Fuel
depleted_fuel_hep_239_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEP-239 Fluoride Fuel
depleted_fuel_lep_241                             ([no block])                                                                     = Molten Depleted LEP-241 Fuel
depleted_fuel_lep_241_fluoride                    ([no block])                                                                     = Molten Depleted LEP-241 Fluoride Fuel
depleted_fuel_lep_241_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEP-241 Fluoride Fuel
depleted_fuel_hep_241                             ([no block])                                                                     = Molten Depleted HEP-241 Fuel
depleted_fuel_hep_241_fluoride                    ([no block])                                                                     = Molten Depleted HEP-241 Fluoride Fuel
depleted_fuel_hep_241_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEP-241 Fluoride Fuel
depleted_fuel_lea_242                             ([no block])                                                                     = Molten Depleted LEA-242 Fuel
depleted_fuel_lea_242_fluoride                    ([no block])                                                                     = Molten Depleted LEA-242 Fluoride Fuel
depleted_fuel_lea_242_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEA-242 Fluoride Fuel
depleted_fuel_hea_242                             ([no block])                                                                     = Molten Depleted HEA-242 Fuel
depleted_fuel_hea_242_fluoride                    ([no block])                                                                     = Molten Depleted HEA-242 Fluoride Fuel
depleted_fuel_hea_242_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEA-242 Fluoride Fuel
depleted_fuel_lecm_243                            ([no block])                                                                     = Molten Depleted LECm-243 Fuel
depleted_fuel_lecm_243_fluoride                   ([no block])                                                                     = Molten Depleted LECm-243 Fluoride Fuel
depleted_fuel_lecm_243_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-243 Fluoride Fuel
depleted_fuel_hecm_243                            ([no block])                                                                     = Molten Depleted HECm-243 Fuel
depleted_fuel_hecm_243_fluoride                   ([no block])                                                                     = Molten Depleted HECm-243 Fluoride Fuel
depleted_fuel_hecm_243_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-243 Fluoride Fuel
depleted_fuel_lecm_245                            ([no block])                                                                     = Molten Depleted LECm-245 Fuel
depleted_fuel_lecm_245_fluoride                   ([no block])                                                                     = Molten Depleted LECm-245 Fluoride Fuel
depleted_fuel_lecm_245_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-245 Fluoride Fuel
depleted_fuel_hecm_245                            ([no block])                                                                     = Molten Depleted HECm-245 Fuel
depleted_fuel_hecm_245_fluoride                   ([no block])                                                                     = Molten Depleted HECm-245 Fluoride Fuel
depleted_fuel_hecm_245_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-245 Fluoride Fuel
depleted_fuel_lecm_247                            ([no block])                                                                     = Molten Depleted LECm-247 Fuel
depleted_fuel_lecm_247_fluoride                   ([no block])                                                                     = Molten Depleted LECm-247 Fluoride Fuel
depleted_fuel_lecm_247_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-247 Fluoride Fuel
depleted_fuel_hecm_247                            ([no block])                                                                     = Molten Depleted HECm-247 Fuel
depleted_fuel_hecm_247_fluoride                   ([no block])                                                                     = Molten Depleted HECm-247 Fluoride Fuel
depleted_fuel_hecm_247_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-247 Fluoride Fuel
depleted_fuel_leb_248                             ([no block])                                                                     = Molten Depleted LEB-248 Fuel
depleted_fuel_leb_248_fluoride                    ([no block])                                                                     = Molten Depleted LEB-248 Fluoride Fuel
depleted_fuel_leb_248_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEB-248 Fluoride Fuel
depleted_fuel_heb_248                             ([no block])                                                                     = Molten Depleted HEB-248 Fuel
depleted_fuel_heb_248_fluoride                    ([no block])                                                                     = Molten Depleted HEB-248 Fluoride Fuel
depleted_fuel_heb_248_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEB-248 Fluoride Fuel
depleted_fuel_lecf_249                            ([no block])                                                                     = Molten Depleted LECf-249 Fuel
depleted_fuel_lecf_249_fluoride                   ([no block])                                                                     = Molten Depleted LECf-249 Fluoride Fuel
depleted_fuel_lecf_249_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECf-249 Fluoride Fuel
depleted_fuel_hecf_249                            ([no block])                                                                     = Molten Depleted HECf-249 Fuel
depleted_fuel_hecf_249_fluoride                   ([no block])                                                                     = Molten Depleted HECf-249 Fluoride Fuel
depleted_fuel_hecf_249_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECf-249 Fluoride Fuel
depleted_fuel_lecf_251                            ([no block])                                                                     = Molten Depleted LECf-251 Fuel
depleted_fuel_lecf_251_fluoride                   ([no block])                                                                     = Molten Depleted LECf-251 Fluoride Fuel
depleted_fuel_lecf_251_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECf-251 Fluoride Fuel
depleted_fuel_hecf_251                            ([no block])                                                                     = Molten Depleted HECf-251 Fuel
depleted_fuel_hecf_251_fluoride                   ([no block])                                                                     = Molten Depleted HECf-251 Fluoride Fuel
depleted_fuel_hecf_251_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECf-251 Fluoride Fuel
redstone_nak                                      ([no block])                                                                     = Eutectic NaK-Redstone Mixture
redstone_nak_hot                                  ([no block])                                                                     = Hot Eutectic NaK-Redstone Mixture
quartz                                            ([no block])                                                                     = Molten Quartz
quartz_nak                                        ([no block])                                                                     = Eutectic NaK-Quartz Mixture
quartz_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Quartz Mixture
gold_nak                                          ([no block])                                                                     = Eutectic NaK-Gold Mixture
gold_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Gold Mixture
glowstone_nak                                     ([no block])                                                                     = Eutectic NaK-Glowstone Mixture
glowstone_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Glowstone Mixture
lapis                                             ([no block])                                                                     = Molten Lapis
lapis_nak                                         ([no block])                                                                     = Eutectic NaK-Lapis Mixture
lapis_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Lapis Mixture
diamond                                           ([no block])                                                                     = Molten Diamond
diamond_nak                                       ([no block])                                                                     = Eutectic NaK-Diamond Mixture
diamond_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Diamond Mixture
liquidhelium_nak                                  ([no block])                                                                     = Eutectic NaK-Helium Mixture
liquidhelium_nak_hot                              ([no block])                                                                     = Hot Eutectic NaK-Helium Mixture
ender_nak                                         ([no block])                                                                     = Eutectic NaK-Ender Mixture
ender_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Ender Mixture
cryotheum_nak                                     ([no block])                                                                     = Eutectic NaK-Cryotheum Mixture
cryotheum_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Cryotheum Mixture
iron_nak                                          ([no block])                                                                     = Eutectic NaK-Iron Mixture
iron_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Iron Mixture
emerald                                           ([no block])                                                                     = Molten Emerald
emerald_nak                                       ([no block])                                                                     = Eutectic NaK-Emerald Mixture
emerald_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Emerald Mixture
copper_nak                                        ([no block])                                                                     = Eutectic NaK-Copper Mixture
copper_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Copper Mixture
tin_nak                                           ([no block])                                                                     = Eutectic NaK-Tin Mixture
tin_nak_hot                                       ([no block])                                                                     = Hot Eutectic NaK-Tin Mixture
magnesium_nak                                     ([no block])                                                                     = Eutectic NaK-Magnesium Mixture
magnesium_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Magnesium Mixture
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
exhauststeam                                      (immersivetech:exhauststeam)                                                     = Exhaust Steam
distwater                                         (immersivetech:fluiddistwater)                                                   = Distilled Water
fluegas                                           (immersivetech:fluidfluegas)                                                     = Flue Gas
highpressuresteam                                 (immersivetech:fluidhighpressuresteam)                                           = High Pressure Steam
moltensalt                                        (immersivetech:fluidmoltensalt)                                                  = Molten Salt
moltensodium                                      (immersivetech:fluidmoltensodium)                                                = Molten Sodium
superheatedmoltensodium                           (immersivetech:fluidsuperheatedmoltensodium)                                     = Superheated Molten Sodium
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
spentsteam                                        ([no block])                                                                     = Low-Pressure Steam
hotsteam                                          ([no block])                                                                     = Dense Steam
superhotsteam                                     ([no block])                                                                     = Super Dense Steam
ultrahotsteam                                     ([no block])                                                                     = Ultra Dense Steam
hotcoolant                                        ([no block])                                                                     = Hot Coolant
hotoil                                            ([no block])                                                                     = Hot Crude Oil
crackoil                                          ([no block])                                                                     = Cracked Oil
hotcrackoil                                       ([no block])                                                                     = Hot Cracked Oil
heavyoil                                          ([no block])                                                                     = Heavy Oil
bitumen                                           ([no block])                                                                     = Bitumen
smear                                             ([no block])                                                                     = Industrial Oil
heatingoil                                        ([no block])                                                                     = Heating Oil
reclaimed                                         ([no block])                                                                     = Reclaimed Industrial Oil
petroil                                           ([no block])                                                                     = Petroil
fracksol                                          ([no block])                                                                     = Fracking Solution
lightoil                                          ([no block])                                                                     = Light Oil
kerosene                                          ([no block])                                                                     = Kerosene
gas                                               ([no block])                                                                     = Natural Gas
petroleum                                         ([no block])                                                                     = Petroleum Gas
aromatics                                         ([no block])                                                                     = Aromatic Hydrocarbons
unsaturateds                                      ([no block])                                                                     = Unsaturated Hydrocarbons
biogas                                            ([no block])                                                                     = Biogas
fishoil                                           ([no block])                                                                     = Fish Oil
sunfloweroil                                      ([no block])                                                                     = Sunflower Seed Oil
colloid                                           ([no block])                                                                     = Colloid
nitan                                             ([no block])                                                                     = NITAN© 100 Octane Super Fuel
uf6                                               ([no block])                                                                     = Uranium Hexafluoride
puf6                                              ([no block])                                                                     = Plutonium Hexafluoride
sas3                                              ([no block])                                                                     = Schrabidium Trisulfide
amat                                              ([no block])                                                                     = Antimatter
aschrab                                           ([no block])                                                                     = Antischrabidium
acid                                              ([no block])                                                                     = Hydrogen Peroxide
solvent                                           ([no block])                                                                     = Solvent
radiosolvent                                      ([no block])                                                                     = High-Performance Solvent
nitroglycerin                                     ([no block])                                                                     = Nitroglycerin
liquid_osmiridium                                 ([no block])                                                                     = Osmiridic Solution
watz                                              ([no block])                                                                     = Watz Mud
cryogel                                           ([no block])                                                                     = Cryogel
balefire                                          ([no block])                                                                     = Balefire Rocket Fuel
plasma_dt                                         ([no block])                                                                     = Deuterium-Tritium Plasma
plasma_hd                                         ([no block])                                                                     = Hydrogen-Deuterium Plasma
plasma_ht                                         ([no block])                                                                     = Hydrogen-Tritium Plasma
plasma_put                                        ([no block])                                                                     = Plutonium-Tritium Plasma
plasma_xm                                         ([no block])                                                                     = Xenon-Mercury Plasma
plasma_bf                                         ([no block])                                                                     = Balefire Plasma
ic2uu_matter                                      ([no block])                                                                     = UU-Matter
pain                                              ([no block])                                                                     = Pandemonium(III)tantalite Solution
wastefluid                                        ([no block])                                                                     = Liquid Nuclear Waste
wastegas                                          ([no block])                                                                     = Gaseous Nuclear Waste
toxic_fluid                                       (hbm:toxic_block)                                                                = Sellaline
radwater_fluid                                    (hbm:radwater_block)                                                             = Radiated Water
mud_fluid                                         (hbm:mud_block)                                                                  = Oxidized Watz Mud
schrabidic                                        (hbm:schrabidic_block)                                                           = Schrabidic Acid
corium_fluid                                      (hbm:corium_block)                                                               = Corium
volcanic_lava_fluid                               (hbm:volcanic_lava_block)                                                        = Volcanic Lava
xpjuice                                           ([no block])                                                                     = Liquid XP
manasteel                                         (pewter:molten_manasteel)                                                        = Molten Manasteel
elementium                                        (pewter:molten_elementium)                                                       = Molten Edmundium
terrasteel                                        (pewter:molten_terrasteel)                                                       = Molten Terrasteel
thaumium                                          (pewter:molten_thaumium)                                                         = Molten Thaumium
voidmetal                                         (pewter:molten_voidmetal)                                                        = Molten Void Metal
pewterfluid                                       (pewter:pewterfluid)                                                             = fluid.other.name
polluted_water                                    (uem:polluted_water)                                                             = Polluted Water
fuelium                                           (vehicle:fuelium)                                                                = Fuelium
ender_sap                                         (vehicle:ender_sap)                                                              = Ender Sap
blaze_juice                                       (vehicle:blaze_juice)                                                            = Blaze Juice
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = Rocket Fuel
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Enriched Lava
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
tropicraft.water                                  (tropicraft:water)                                                               = Tropics Water
tropicraft.portal                                 (tropicraft:portal)                                                              = Tropics Portal
betterquesting.placeholder                        ([no block])                                                                     = Placeholder
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
